,Entidad,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
0,Aguascalientes,6.2,0.0,0.0,1.9,,,,,,,,,
1,Baja California,26.8,1.3,14.1,1.4,,,,,,,,,
2,Baja California Sur,12.2,0.2,0.1,0.0,,,,,,,,,
3,Campeche,52.8,21.1,30.4,21.6,,,,,,,,,
4,Coahuila,3.5,4.6,0.2,10.9,,,,,,,,,
5,Colima,0.7,0.0,0.0,0.0,,,,,,,,,
6,Chiapas,52.1,17.0,48.7,31.3,,,,,,,,,
7,Chihuahua,20.6,9.3,0.7,3.0,,,,,,,,,
8,Ciudad de México,4.7,0.9,2.6,12.5,,,,,,,,,
9,Durango,3.2,0.1,0.0,2.4,,,,,,,,,
10,Guanajuato,4.8,0.2,0.2,3.8,,,,,,,,,
11,Guerrero,2.9,0.2,1.3,0.9,,,,,,,,,
12,Hidalgo,12.6,4.6,10.0,27.1,,,,,,,,,
13,Jalisco,1.1,0.3,0.0,0.8,,,,,,,,,
14,Estado de México,4.1,0.5,9.9,18.3,,,,,,,,,
15,Michoacán,0.2,0.0,0.9,2.4,,,,,,,,,
16,Morelos,13.4,0.1,13.8,3.3,,,,,,,,,
17,Nayarit,0.3,0.2,0.0,0.5,,,,,,,,,
18,Nuevo León,10.0,6.4,5.5,22.6,,,,,,,,,
19,Oaxaca,26.0,8.8,5.0,16.9,,,,,,,,,
20,Puebla,33.0,7.2,14.1,31.5,,,,,,,,,
21,Querétaro,3.8,1.2,1.6,10.5,,,,,,,,,
22,Quintana Roo,79.2,39.5,54.3,51.9,,,,,,,,,
23,San Luis Potosí,9.4,3.0,2.9,13.5,,,,,,,,,
24,Sinaloa,14.9,0.6,0.0,0.8,,,,,,,,,
25,Sonora,42.2,1.5,2.9,0.3,,,,,,,,,
26,Tabasco,150.0,42.9,66.7,28.0,,,,,,,,,
27,Tamaulipas,17.3,13.3,10.5,16.5,,,,,,,,,
28,Tlaxcala,11.9,0.6,2.0,18.8,,,,,,,,,
29,Veracruz,85.0,25.4,22.7,32.1,,,,,,,,,
30,Yucatán,45.9,55.1,23.0,47.6,,,,,,,,,
31,Zacatecas,1.5,0.0,0.0,2.0,,,,,,,,,
32,Nacional,23.7,7.9,8.4,11.0,,,,,,,,,
