,1987,Unnamed: 0,TEMPERATURA MEDIA PROMEDIO A NIVEL NACIONAL Y POR ENTIDAD FEDERATIVA
0,ENTIDAD,ENE,FEB MAR ABR MAY JUN JUL AGO SEP OCT NOV DIC ANUAL
1,AGUASCALIENTES,11.7,13.0 14.9 17.7 19.2 20.7 19.5 20.2 20.0 16.7 14.9 14.3 16.9
2,BAJA CALIFORNIA,11.7,13.2 14.6 18.4 19.5 22.7 23.7 25.1 24.1 22.1 15.8 11.4 18.5
3,BAJA CALIFORNIA SUR,16.1,16.7 18.1 20.9 21.4 24.8 27.8 28.6 27.9 26.4 20.7 16.9 22.2
4,CAMPECHE,22.8,24.4 25.8 26.0 29.0 28.5 27.6 27.4 27.8 25.1 24.5 23.9 26.1
5,COAHUILA,10.6,12.9 14.7 17.4 21.4 24.0 24.2 24.9 22.7 19.7 15.4 13.8 18.5
6,COLIMA,22.4,22.1 22.9 24.1 25.4 27.7 27.1 26.7 27.4 26.1 25.4 24.3 25.1
7,CHIAPAS,21.4,22.8 23.7 24.4 25.5 25.2 24.6 24.7 24.8 22.8 23.0 22.7 23.8
8,CHIHUAHUA,7.1,8.6 10.9 15.2 18.7 22.7 23.3 22.0 20.4 17.5 11.4 9.0 15.6
9,DISTRITO FEDERAL,13.5,14.4 16.1 17.2 17.9 17.6 17.3 17.6 18.1 15.2 14.7 14.7 16.2
10,DURANGO,8.9,11.4 12.9 16.4 19.0 21.8 21.7 21.0 20.0 17.6 13.8 12.7 16.4
11,GUANAJUATO,13.9,14.8 16.7 18.6 20.6 20.8 20.0 19.9 19.9 16.7 15.7 15.4 17.8
12,GUERRERO,23.1,23.9 25.2 26.2 27.1 26.2 25.3 25.4 25.7 24.9 24.5 24.4 25.2
13,HIDALGO,12.9,14.0 15.5 16.5 18.0 17.9 17.2 17.5 17.6 14.0 14.4 14.3 15.8
14,JALISCO,16.3,16.9 18.3 20.7 22.4 23.9 22.7 22.3 22.8 20.4 18.7 17.8 20.3
15,ESTADO DE MÉXICO,12.3,13.0 14.3 15.6 16.5 16.4 16.2 16.3 16.6 14.1 13.7 13.4 14.9
16,MICHOACÁN,16.7,17.4 19.1 20.9 22.4 22.3 21.2 21.0 21.5 19.6 18.6 18.1 19.9
17,MORELOS,19.1,20.1 21.8 23.1 24.3 23.0 22.0 22.1 22.5 20.3 19.9 20.0 21.5
18,NAYARIT,19.4,19.8 21.0 23.2 25.1 28.3 27.3 26.6 27.3 26.2 23.7 21.6 24.1
19,NUEVO LEÓN,11.9,14.2 15.4 18.0 22.7 24.2 24.3 25.5 22.8 19.2 15.6 13.9 19.0
20,OAXACA,19.4,20.7 22.0 22.6 23.8 23.2 22.7 22.7 23.1 21.4 21.2 21.0 22.0
21,PUEBLA,14.3,15.5 17.0 17.7 19.8 19.6 18.8 18.7 19.1 16.5 16.2 15.6 17.4
22,QUERÉTARO,14.0,15.2 16.9 18.3 20.2 19.8 19.4 20.2 19.9 16.3 15.4 15.5 17.6
23,QUINTANA ROO,22.3,23.7 25.5 24.7 27.1 27.8 27.3 27.2 27.4 25.4 24.6 23.9 25.6
24,SAN LUIS POTOSÍ,13.9,15.8 17.8 19.4 23.2 23.7 22.3 23.5 23.4 19.4 17.3 16.5 19.7
25,SINALOA,18.2,18.8 20.2 23.4 25.3 29.4 30.5 28.8 29.2 28.0 22.8 20.0 24.6
26,SONORA,12.9,14.7 16.3 21.5 23.3 29.1 30.6 29.0 27.9 26.0 17.6 13.3 21.8
27,TABASCO,22.4,24.4 25.5 26.1 28.9 28.7 28.3 28.3 28.5 25.4 24.8 24.4 26.3
28,TAMAULIPAS,15.2,18.2 19.2 21.9 26.3 27.3 27.0 28.2 27.2 23.7 20.4 19.0 22.8
29,TLAXCALA,11.4,12.5 13.6 14.6 15.7 15.8 15.2 15.4 15.9 12.8 12.3 12.4 14.0
30,VERACRUZ,17.4,19.1 20.3 21.0 25.1 25.0 24.0 24.6 24.9 22.0 20.9 20.2 22.0
31,YUCATÁN,22.3,23.9 25.4 25.3 28.8 28.4 28.0 27.6 27.5 25.3 24.9 24.2 26.0
32,ZACATECAS,11.5,12.8 14.6 17.4 19.1 21.0 20.0 19.7 19.4 16.7 14.4 13.5 16.7
33,NACIONAL,15.8,17.2 18.6 20.4 22.6 23.7 23.3 23.4 23.2 20.7 18.7 17.6 20.4
