,Entidad,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
0,Aguascalientes,12.9,14.9,17.9,19.4,,,,,,,,,
1,Baja California,13.6,14.4,14.1,18.0,,,,,,,,,
2,Baja California Sur,17.3,18.2,19.0,21.9,,,,,,,,,
3,Campeche,24.1,25.2,27.4,29.6,,,,,,,,,
4,Coahuila,13.5,15.5,19.8,23.0,,,,,,,,,
5,Colima,24.8,24.2,24.9,25.5,,,,,,,,,
6,Chiapas,23.9,24.0,25.4,27.0,,,,,,,,,
7,Chihuahua,9.9,13.4,15.4,19.3,,,,,,,,,
8,Ciudad de México,15.3,16.3,18.9,19.6,,,,,,,,,
9,Durango,11.8,15.0,17.2,19.7,,,,,,,,,
10,Guanajuato,15.5,17.0,20.1,21.6,,,,,,,,,
11,Guerrero,24.0,24.0,26.1,26.9,,,,,,,,,
12,Hidalgo,15.4,16.9,19.5,20.8,,,,,,,,,
13,Jalisco,17.5,19.3,21.2,22.8,,,,,,,,,
14,Estado de México,12.4,13.2,16.2,16.9,,,,,,,,,
15,Michoacán,17.5,18.1,21.0,21.8,,,,,,,,,
16,Morelos,19.7,20.7,23.7,24.8,,,,,,,,,
17,Nayarit,20.7,22.4,22.8,25.4,,,,,,,,,
18,Nuevo León,14.9,16.3,20.8,24.1,,,,,,,,,
19,Oaxaca,20.8,21.9,23.7,25.3,,,,,,,,,
20,Puebla,16.0,16.8,19.3,20.9,,,,,,,,,
21,Querétaro,16.5,17.7,20.7,23.0,,,,,,,,,
22,Quintana Roo,24.6,25.5,26.5,28.5,,,,,,,,,
23,San Luis Potosí,18.6,19.7,23.6,26.5,,,,,,,,,
24,Sinaloa,19.2,20.5,21.4,24.6,,,,,,,,,
25,Sonora,14.2,16.0,17.1,21.9,,,,,,,,,
26,Tabasco,24.2,25.0,27.3,29.5,,,,,,,,,
27,Tamaulipas,18.4,18.3,23.0,26.3,,,,,,,,,
28,Tlaxcala,12.6,13.0,16.2,16.8,,,,,,,,,
29,Veracruz,19.0,19.9,22.5,24.9,,,,,,,,,
30,Yucatán,23.3,24.7,26.6,29.1,,,,,,,,,
31,Zacatecas,13.0,15.5,18.2,19.9,,,,,,,,,
32,Nacional,16.4,18.0,20.3,23.0,,,,,,,,,
